phaseDegUnwrapped(VF("/net156")/VF("/I75/net90")) X,phaseDegUnwrapped(VF("/net156")/VF("/I75/net90")) Y
100,-90.00032779363156
144.5439770745927,-90.00047380595164
208.9296130854039,-90.00068485796612
301.9951720402015,-90.00098992094159
436.5158322401658,-90.00143087109899
630.9573444801929,-90.00206823799363
912.0108393559092,-90.00298951345245
1318.256738556406,-90.00432116164249
1905.460717963246,-90.00624597890348
2754.228703338164,-90.00902818634327
3981.07170553497,-90.01304969968568
5754.399373371565,-90.018862555186
8317.637711026704,-90.02726468824098
12022.64434617412,-90.03940946712754
17378.00828749374,-90.05696401839567
25118.86431509578,-90.08233807961047
36307.8054770101,-90.11901480097409
52480.74602497721,-90.17202892526052
75857.75750291831,-90.24865804473609
109647.8196143184,-90.35942198942568
158489.3192461112,-90.51952796518272
229086.765276777,-90.7509607892038
331131.1214825907,-91.08550681715528
478630.0923226377,-91.56912907016286
691830.9709189356,-92.26830389028844
999999.9999999987,-93.27923923972219
1445439.770745926,-94.74140043843515
2089296.130854037,-96.85763280514989
3019951.720402012,-99.92489038525927
4365158.322401654,-104.3833493858455
6309573.444801924,-110.8999700727978
9120108.393559085,-120.5165158754355
13182567.38556405,-134.8761240395427
19054607.17963244,-156.1977983547276
27542287.03338162,-185.1366720954583
39810717.05534966,-216.1230542283997
57543993.7337156,-241.7424063219005
83176377.11026697,-260.526186115899
120226443.4617411,-273.9569616676433
173780082.8749372,-284.0165388250742
251188643.1509576,-293.0241035246371
363078054.7701007,-303.1249357235458
524807460.2497716,-315.6966169180175
758577575.0291823,-331.0188024597193
1096478196.143183,-348.1456684662535
1584893192.46111,-365.2535485036668
2290867652.767768,-380.4057001439085
3311311214.825903,-392.231477109524
4786300923.226373,-400.3455221087693
6918309709.189349,-405.3890942690212
10000000000,-408.4866184489488
