phase(VF("/net156")) X,phase(VF("/net156")) Y
100,179.3751174605194
144.5439770745927,179.097201345543
208.9296130854039,178.6954479873976
301.9951720402015,178.1148898585645
436.5158322401658,177.2763813605216
630.9573444801929,176.0664699821753
912.0108393559092,174.3240211396854
1318.256738556406,171.824595681596
1905.460717963246,168.2683911541245
2754.228703338164,163.2906391795773
3981.07170553497,156.5398701711187
5754.399373371565,147.8906248261222
8317.637711026704,137.7687128769736
12022.64434617412,127.2689136306197
17378.00828749374,117.6857901768106
25118.86431509578,109.8231029226786
36307.8054770101,103.8065182158783
52480.74602497721,99.35531689859748
75857.75750291831,96.07214701494171
109647.8196143184,93.58447422177336
158489.3192461112,91.58102508420066
229086.765276777,89.80549639069611
331131.1214825907,88.03988263268522
478630.0923226377,86.08464087192758
691830.9709189356,83.72240989147224
999999.9999999987,80.65561228883624
1445439.770745926,76.45126559002398
2089296.130854037,70.52220208307499
3019951.720402012,62.1233004744373
4365158.322401654,50.36919101439668
6309573.444801924,34.33200482901875
9120108.393559085,13.19742949781378
13182567.38556405,-13.8203702837746
19054607.17963244,-47.8722204791401
27542287.03338162,-88.99512853080441
39810717.05534966,-131.6632999127778
57543993.7337156,-169.0183641818997
83176377.11026697,-200.3052213608997
120226443.4617411,-227.5959102951585
173780082.8749372,-252.8614979201255
251188643.1509576,-277.2172728397829
363078054.7701007,-301.0727624321483
524807460.2497716,-326.2139845280088
758577575.0291823,-356.1598099291326
1096478196.143183,-391.6517114903307
1584893192.46111,-429.2503294150327
2290867652.767768,-464.2839496521035
3311311214.825903,-492.9067300156887
4786300923.226373,-512.9091750278667
6918309709.189349,-524.1285569644402
10000000000,-527.9766830759805
