phaseDegUnwrapped(VF("/net155")/VF("/net153")) X,phaseDegUnwrapped(VF("/net155")/VF("/net153")) Y
100,-90.07490559578278
144.5439770745927,-90.05339932377406
208.9296130854039,-90.0392231462489
301.9951720402015,-90.0304311358216
436.5158322401658,-90.02581642226674
630.9573444801929,-90.02474554557989
912.0108393559092,-90.02707150740807
1318.256738556406,-90.03311359475215
1905.460717963246,-90.04370120939994
2754.228703338164,-90.06028772049345
3981.07170553497,-90.08514996881431
5754.399373371565,-90.1217008078429
8317.637711026704,-90.17495758086932
12022.64434617412,-90.25223083179441
17378.00828749374,-90.36412775753473
25118.86431509578,-90.52600805024657
36307.8054770101,-90.76009168267532
52480.74602497721,-91.09850709438372
75857.75750291831,-91.58769554964897
109647.8196143184,-92.29476823631119
158489.3192461112,-93.31666453219239
229086.765276777,-94.79329547693256
331131.1214825907,-96.92625579216475
478630.0923226377,-100.0050046272434
691830.9709189356,-104.4420730987339
999999.9999999987,-110.815847604062
1445439.770745926,-119.9071367540007
2089296.130854037,-132.6738872778423
3019951.720402012,-149.9954029710393
4365158.322401654,-171.8892296800393
6309573.444801924,-196.4638765405024
9120108.393559085,-220.5056427769305
13182567.38556405,-242.0064190371007
19054607.17963244,-261.1798352448033
27542287.03338162,-279.511915690353
39810717.05534966,-298.8480898012272
57543993.7337156,-321.1682389455016
83176377.11026697,-348.7822089824379
120226443.4617411,-383.1969136287735
173780082.8749372,-421.1677512792959
251188643.1509576,-455.6622805596186
363078054.7701007,-483.5251995031323
524807460.2497716,-505.5403635632671
758577575.0291823,-523.4445255856639
1096478196.143183,-538.8729021237075
1584893192.46111,-552.9430561610948
2290867652.767768,-565.8663187481595
3311311214.825903,-576.8243329126337
4786300923.226373,-584.6417099519729
6918309709.189349,-589.043417954783
10000000000,-591.2884634865908
