Gain,Peak Frequency (Hz),Peak Value (dB),-3dB Frequency (Hz)
0,17342960.3289,5.40242770041,31123791.5324
1,17320768.9743,5.52378784408,30924069.341
2,16388732.0813,5.62149034309,30635581.7313
3,16743793.7549,5.73938558651,30369285.4762
4,15634226.0251,5.94590451359,30102989.221
5,16455306.1451,6.05593182374,29792310.2567
6,16721602.4003,6.17147682853,29526014.0016
7,14768763.1959,6.29034773318,29259717.7464
8,16078053.117,6.48804628579,28949038.7821
9,15101633.5148,6.60756843026,28682742.5269
10,14302744.7494,6.72470374871,28349872.208
11,14613423.7137,6.86269452982,28105767.3075
12,15123824.8694,7.07397919522,27661940.2156
13,13770152.2391,7.20904979593,27484409.3788
14,14103022.5581,7.34982728504,27129347.7053
15,13725769.5299,7.49261453672,26774286.0318
16,14280553.3948,7.73761785541,26419224.3583
17,13370707.8564,7.88769438319,26152928.1031
18,13148794.3105,8.0370932794,25775675.075
19,13060028.8921,8.2262001878,25487187.4653
20,13015646.1829,8.45014075258,25087743.0826
21,13037837.5375,8.61374370042,24821446.8274
22,11795121.6802,8.76942797686,24444193.7993
23,11772930.3256,8.95045933488,24133514.835
24,12238948.7721,9.20925182431,23734070.4523
25,11284720.5245,9.38482180426,23423391.4879
26,11373485.9429,9.56920866803,23001755.7506
27,10175152.7948,9.75285606817,22713268.1409
28,10641171.2412,10.0601183486,22269441.049
29,10197344.1493,10.2664261555,21914379.3755
30,10485831.7591,10.4817406018,21448360.929
31,9753517.05745,10.6993400367,21159873.3193
